logFC	logCPM	LR	PValue	FDR
AT3G63350	-1.70703524349279	1.57387184794167	26.7539134236736	2.31083267256808e-07	0.00244770591497409
AT3G51680	-1.1681985099134	3.16406117918351	26.3069264328684	2.91242296853229e-07	0.00244770591497409
AT3G14540	-1.58441382658817	1.93913272599105	25.8406147419476	3.70803272129677e-07	0.00244770591497409
AT2G41450	-1.3962260865839	4.90296769121697	25.3907477773147	4.68158096325576e-07	0.00244770591497409
AT5G11140	-1.46618039531081	3.69845305744969	25.2632738471635	5.0014178959316e-07	0.00244770591497409
AT2G36950	-1.16825322542169	7.40129989215986	25.0475890168571	5.59326483979301e-07	0.00244770591497409
AT5G48110	-1.56132617102394	4.85509557321369	23.9769286961795	9.74970284819517e-07	0.00365711353835801
AT3G46613	-2.08647756201087	-1.26618433631238	23.6770630262433	1.13932370682865e-06	0.00373940282127497
AT3G02480	-1.34797119340631	0.940091510092643	22.5564856818535	2.04054471767912e-06	0.0059531758502334
AT2G20605	3.53342346644683	-3.85879355723449	20.8938694631142	4.85445752537871e-06	0.00847444006681227
AT4G25410	-1.35376249739053	2.51853041675046	20.8884593823485	4.86818763239292e-06	0.00847444006681227
AT5G35550	3.35926660246743	-3.991551553853	20.7754781534828	5.16399592752395e-06	0.00847444006681227
AT1G58050	-2.13694858694509	-2.56874740221859	20.4925766873978	5.98629684384705e-06	0.009246011542876
AT3G13280	-1.29032684412097	1.91575037359161	19.9580860752332	7.91584745141163e-06	0.0115470225850953
AT1G16400	1.33405314315922	1.94721153374402	19.4778682696232	1.01772054920846e-05	0.0133611442302832
AT4G21323	-1.15253372847879	2.27183373250956	19.249240938488	1.1471597922305e-05	0.0133878754017333
AT3G24310	-1.38455535231804	2.95203349699279	19.212437040358	1.16948975283495e-05	0.0133878754017333
AT3G17270	-3.65664220970808	-4.08404760305333	19.1017407292867	1.23931799899857e-05	0.0133878754017333
AT1G07657	-1.19593273473771	1.31580308307257	19.048025694922	1.27469583365705e-05	0.0133878754017333
AT1G77885	-1.05963632556843	5.45923968220648	18.6379749572769	1.58040932438377e-05	0.0157097966281322
AT1G23160	-1.4448902599347	2.45587701933544	18.5961862549051	1.61543401363282e-05	0.0157097966281322
AT3G20840	-1.07796574569001	2.46017038307287	18.1832293027125	2.00637843648011e-05	0.0176346083832405
AT1G27670	-1.07087201489548	2.62950889457737	18.1127666704955	2.08200807358211e-05	0.0176346083832405
AT1G04720	-2.78068475730194	-3.98507177919001	17.9280841417052	2.29410800979442e-05	0.0188238731291163
AT4G37840	-2.63186200433096	-3.62993184857281	17.7569571827906	2.50997927120949e-05	0.0199710684012568
AT5G20240	-1.3681116297913	6.51716066342025	17.3142389612995	3.16804073089593e-05	0.0235609594454937
AT5G51470	-1.05149658670262	2.35499240405256	17.2424769812164	3.28997666553141e-05	0.0235609594454937
