baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G04187	157.867038942915	1.13456678848901	0.259398426561466	4.37383835950204	1.22080786923066e-05	0.00455255178017015
AT1G03982	269.943239481387	-1.14312073464076	0.312582041841331	-3.65702625751296	0.000255158251573046	0.0311160046029671
AT1G04370	149.740842455732	-1.41571252322794	0.379099243696957	-3.73441136263417	0.000188154741473676	0.0266011519387865
AT1G07180	1187.67280273614	-1.27034449914826	0.336315767945838	-3.7772374067006	0.000158577558409077	0.0238617494469238
AT1G09110	29.6584357688944	-1.80156930649029	0.472675120864483	-3.81143247648697	0.000138163798762872	0.0225882772837369
AT1G16400	618.147309241319	1.34721906948968	0.268118688600433	5.02471154294427	5.04189774489931e-07	0.000411570632156606
AT1G05557	273.747876028199	-1.01917264224619	0.251051430125767	-4.05961695472367	4.91532833876473e-05	0.0113942624761041
AT1G20470	248.872665439364	-1.18223800674614	0.235184772338621	-5.02684759302333	4.98608305228377e-07	0.000411570632156606
AT1G23160	876.894642493647	-1.43302258963326	0.316809016744728	-4.52330114956271	6.08825179332176e-06	0.00274836503322741
AT1G27670	989.830466272001	-1.05835098366036	0.219120145785245	-4.83000310111889	1.36530924092782e-06	0.000836446954245567
AT1G30190	415.417138871623	-1.29910072874532	0.341687555996847	-3.80201358213147	0.000143524857033287	0.023081488102022
AT1G44318	701.965102229385	-1.1984368607773	0.263953626636354	-4.5403311030402	5.61659558671463e-06	0.00258072537574561
AT1G47130	4750.84952918937	-1.11837043766858	0.2828813799056	-3.9534961192631	7.70175136494654e-05	0.015262723402917
AT1G07493	45.9935227128795	-1.20490860080167	0.346699778326722	-3.4753659394215	0.000510156909795256	0.0472188757048264
AT1G49450	1614.94852870922	-1.23235809073284	0.330145679054076	-3.73277061890907	0.000189385049006143	0.0266287797594375
AT1G07657	396.968968348079	-1.18289956216401	0.209307015439337	-5.65150460762675	1.59049423250742e-08	3.72045519060439e-05
AT1G54950	22.017150619165	1.71114122038888	0.49162515963047	3.48058106235868	0.000500327397427104	0.0468106107638328
AT1G58050	24.9866687262353	-2.13783597889252	0.514940571784071	-4.15161689723871	3.30134564301663e-05	0.0090040681701006
AT1G64110	968.30366333451	-1.55222070159035	0.427456765113187	-3.63129286579273	0.000282004945986528	0.0329830421144516
AT1G65390	41565.910028771	-1.05433526658345	0.24770135403639	-4.25647760661235	2.07672826596132e-05	0.00662198401658394
AT1G66100	882.965069105129	-1.57718219083778	0.434051148908196	-3.63363210719518	0.000279459256481407	0.0328345485320689
AT1G67110	64.1583794558541	-1.49652535575062	0.395070776656044	-3.78799304878357	0.000151869097486836	0.023578291663684
AT1G08947	581.422805001952	1.18346826286316	0.317198588050106	3.73100104303178	0.00019072043393405	0.0266708015519405
AT1G69530	9050.31081337148	1.32255271263955	0.323129809808799	4.09294553610551	4.25927790990231e-05	0.0103872282152119
AT1G70420	28009.4938812158	-1.13749148683785	0.29998385610862	-3.79184233976239	0.000149533837841866	0.0235674722784121
AT1G71390	61.2450307343233	1.46485267575515	0.415826385850815	3.52275066133175	0.000427092958000734	0.0425950732647941
AT1G73120	1914.51246103631	-1.84302426350992	0.449542293997281	-4.09977946039727	4.13544030910473e-05	0.0102955515316504
AT1G77885	7048.93324849924	-1.04539746531017	0.241592293381608	-4.32711429109584	1.51075580240567e-05	0.00532510377420552
AT1G78390	94.4192464261978	-1.68621320073404	0.414501805113252	-4.06804790698878	4.74086357823177e-05	0.0110897418846802
AT5G07480	21.2758743053271	-2.92005921148031	0.771911116816036	-3.78289565711259	0.000155014408745592	0.0236952168028339
AT5G11140	2076.19110391522	-1.45061597768268	0.281184412756202	-5.15894876057876	2.48340257542672e-07	0.00025560172667322
AT5G16980	3019.52506558643	-1.24532281852145	0.348365005445915	-3.57476439669194	0.00035054341612396	0.0369665272142853
AT5G20240	14679.6355146378	-1.35398974239792	0.329226249864424	-4.11264212059486	3.91156517106972e-05	0.00996519637790048
AT5G24210	11499.0379507103	1.65059666477194	0.425260289787188	3.88137972063637	0.00010386551890817	0.0180578626150414
AT5G04205	47.1597727297929	-1.48535578928468	0.401482764722262	-3.69967510389201	0.000215875651833045	0.0287473898852458
AT5G36140	590.755393247722	2.42273651955064	0.603648891994305	4.01348623625653	5.98284926703862e-05	0.0128287245408476
AT5G45573	99.9030168996802	-1.8389563676184	0.515378784613621	-3.56816466358247	0.000359490565943842	0.0374496022360364
AT5G47175	363.710587883953	-1.2643763404979	0.353209638578656	-3.57967677661869	0.000344019461306576	0.0364278385139074
AT5G47280	81.8110775247219	-1.85360320891834	0.464915087717008	-3.98697150918584	6.69220582707874e-05	0.0138868667852067
AT5G48110	4631.87544810164	-1.5465525653441	0.316347719724171	-4.8887741839662	1.01465804263111e-06	0.000639098960278819
AT5G51470	818.308634749452	-1.03879788491048	0.215898450036579	-4.81151154505502	1.4979308000953e-06	0.000896354823657026
AT5G56400	108.559403731355	-1.24281978096124	0.292900014733317	-4.24315369902873	2.20400373046619e-05	0.00681224422581635
AT5G65165	395.090354453053	-1.08632663704385	0.189557429812928	-5.73085759875484	9.99241293441566e-09	2.85683085794944e-05
AT5G66650	8207.00146946438	-1.05170666452602	0.29139740382805	-3.60918337195146	0.000307162433524776	0.0346648972676579
AT5G66660	211.999209844348	-1.18388938533935	0.236383732095764	-5.00833697328939	5.49023508489744e-07	0.000417327038724247
AT3G02480	305.431738512647	-1.33421657915535	0.208506262131017	-6.39892809702272	1.56471500074807e-10	2.01308408421242e-06
AT3G07255	193.518038917375	-1.05488314314136	0.279053646504913	-3.78021630017578	0.000156692172673709	0.0237167429121601
AT3G10950	37.0231681745395	-1.53767162432328	0.420824602371742	-3.65394897460142	0.000258237609114297	0.0312297889411653
AT3G13280	602.220951321247	-1.27674651870694	0.246226217342463	-5.18525822508649	2.15715768008538e-07	0.000231274267776154
AT3G14540	612.287207758151	-1.57280076735041	0.276573913243538	-5.68672854538338	1.29496047222757e-08	3.33206279108876e-05
AT3G15670	95.1377989687605	-1.52035890288997	0.406845211922109	-3.73694677567214	0.000186268332702661	0.0265967685977922
AT3G19560	78.8788014055608	-1.07980161922586	0.275497273901171	-3.91946389862722	8.87461527798483e-05	0.016577477330394
AT3G19610	71.2450500817075	-1.41341672401826	0.392139176262455	-3.60437520548133	0.000312904751145462	0.0347041041022581
AT3G20840	879.910650662856	-1.06516453092276	0.214502937925614	-4.9657339951779	6.84417137726477e-07	0.000489187149189999
AT3G24310	1236.55322964594	-1.36943789279747	0.300330054520624	-4.55977639328611	5.12081178975085e-06	0.00244006681781628
AT3G28740	4752.48308057325	-1.64463857217734	0.444473151646354	-3.70019778716781	0.000215431496251591	0.0287473898852458
AT3G46613	64.5796909217456	-2.07774681804045	0.406027118747413	-5.11726119292294	3.10004188585703e-07	0.000295433991722175
AT3G07675	103.283251112139	1.09711098853786	0.292678681192183	3.74851691988271	0.000177883338996043	0.0258594135350689
AT3G51680	1435.03427011647	-1.15585257472337	0.195308459645496	-5.91808760778388	3.25706475122001e-09	1.51825244553254e-05
AT3G55240	2121.97801342657	1.2727056866069	0.350204630876807	3.6341772049685	0.000278869153107323	0.0328345485320689
AT3G58480	92.2317446080637	-1.01629222608506	0.272038525248342	-3.73583934539157	0.000187090090404586	0.0265967685977922
AT3G63350	475.118630959434	-1.69458423651952	0.29457115120827	-5.75271620988235	8.78208413484646e-09	2.82464758592168e-05
AT2G03360	83.3994616306027	1.03411156742666	0.268098004605514	3.85721471127053	0.000114686414640771	0.0195430207623953
AT2G05520	163890.068005737	1.04045385158219	0.248608934824758	4.18510240718258	2.85037569090415e-05	0.00833443373893804
AT2G16005	853.624231935773	-2.2240083829258	0.621226485928237	-3.58002827197989	0.000343557034423733	0.0364278385139074
AT2G21820	92.0678565177915	-1.54855961671102	0.360223434644243	-4.29888637933947	1.71658439297665e-05	0.00573629000203663
AT2G23800	1941.77931132458	-1.11794181223502	0.281242214070844	-3.97501426280697	7.03750384810299e-05	0.0141748478377282
AT2G27120	60.8950231151344	-1.99012186110773	0.467799066383464	-4.25422367020372	2.09775535179666e-05	0.00662198401658394
AT2G28340	41.3723137703827	-1.86950362445191	0.507534371449578	-3.68350151165603	0.000230051919031613	0.0297335411098095
AT2G28680	51.1861209883105	-2.33307491413052	0.669275489101448	-3.48597095235453	0.000490354247180957	0.0462172349238579
AT2G36950	27096.96937863	-1.15431215750478	0.211037206142151	-5.46970924514259	4.50774454957493e-08	8.47374279726741e-05
AT2G40100	2285.92838241011	1.18729935168025	0.327318596030613	3.62735074046697	0.000286344204279067	0.0333390168339578
AT2G41260	46.034602694132	-5.26243094693423	1.41662499810166	-3.71476640182554	0.000203391496366475	0.027837588260669
AT2G41445	1552.97528726714	-1.00084315617911	0.255400816918751	-3.91871556345687	8.90220926741479e-05	0.016577477330394
AT2G41450	4788.47008653033	-1.38280795103918	0.271119228193995	-5.10036842554647	3.38992967316423e-07	0.000311522430072103
AT2G41451	570.546776991228	-1.31754695670492	0.338659867901378	-3.89047265880527	0.000100049150036522	0.0178317872140242
AT2G42540	264.057310868183	-1.68000750679128	0.477517690326371	-3.518209986405	0.000434468419838232	0.042997334272529
AT2G43050	1011.21320074312	1.53532929396665	0.396556985334311	3.87164859212431	0.000108101725266751	0.0186682247841528
AT2G43610	19422.1429792533	-1.00106986051765	0.253229959956324	-3.95320467092563	7.71114236671413e-05	0.015262723402917
AT2G47770	388.526937175399	-1.351544000342	0.30093456543702	-4.49115573805647	7.08377281275203e-06	0.00308936539398174
AT2G47780	281.377919446243	-1.3218295746435	0.295262638037147	-4.47679253775822	7.57728166562873e-06	0.00324951724230488
AT4G01780	59.1961602990189	-1.4121470694197	0.402251595025036	-3.5106065131496	0.000447085654964519	0.0436991356944523
AT4G05200	1045.44593428073	1.01161832229251	0.274648802937932	3.68331597105533	0.000230219503530695	0.0297335411098095
AT4G08040	207.934574631269	1.79720913803361	0.478969436125826	3.75224179766135	0.000175260301876345	0.0256228569748877
AT4G17470	664.380092371021	-1.60827993276411	0.404644864118526	-3.9745467578529	7.05134088542698e-05	0.0141748478377282
AT4G21323	772.284250911753	-1.1392831878317	0.226866637281622	-5.02181899235119	5.11844088026559e-07	0.000411570632156606
AT4G23590	1378.15475838215	-1.20712131201121	0.32278306820508	-3.7397293443046	0.000184218502715707	0.0264811524769713
AT4G25410	916.270702801138	-1.34182129618526	0.274509998523072	-4.88805982807392	1.01834586185658e-06	0.000639098960278819
AT4G27670	894.72588023575	-1.48582233846218	0.400776379148972	-3.70736005354719	0.000209431082480825	0.0283624799121795
AT4G28420	324.96306867685	-1.15858780005728	0.217278937943482	-5.33226004795112	9.69978962615281e-08	0.000131360677300283
AT4G31870	514.741578225214	-1.77198436033389	0.453673698964311	-3.90585648755734	9.38922262952136e-05	0.0171343324454053
AT4G32490	180.437416619638	-1.42750145016886	0.350764896133087	-4.06968161838875	4.70774282827917e-05	0.0110897418846802
AT4G32500	514.314050616357	-1.10125122590964	0.317428794772754	-3.46928584943913	0.000521843907243222	0.0478053361201454
AT4G32510	307.975535599041	-1.07519442550786	0.308549067004895	-3.48467890680999	0.000492727938887433	0.0462714693266881
AT4G37800	6259.05027128143	1.15049133102061	0.293748303568963	3.91658885189277	8.98107243747527e-05	0.016577477330394
